PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate, PaidAmt ,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate, PledgeAmtLocal , PaidAmtLocal 
23,Afghanistan,AFG23,CHF/000117/HAF10/4-2016/3792,2016,Government of Germany,7,11,Germany,DE,18-04-16,1122900,01-01-01,26-04-16,"1,122,900.00",01-01-01,EUR ,0.89,EUR ,0.89,"996,012","996,012"
23,Afghanistan,AFG23,CHF/000095/HAF10/1-2016/3676,2016,Government of Denmark,5,8,Denmark,DK,15-01-16,1448393.73,01-01-01,25-01-16,"1,448,393.73",01-01-01,DKK ,6.88,DKK ,6.88,"9,962,052","9,962,052"
23,Afghanistan,AFG23,CHF/000055/HAF10/4-2016/3807,2016,Government of Australia,2,3,Australia,AU,03-05-16,5848785.37,01-01-01,13-05-16,"5,848,785.38",01-01-01,AUD ,1.31,AUD ,1.31,"7,679,455","7,679,455"
23,Afghanistan,AFG23,CHF/000187/HAF10/6-2016/3872,2016,Government of Norway,12,17,Norway,NO,21-06-16,2345313.27,01-01-01,28-06-16,"2,345,313.27",01-01-01,NOK ,8.29,NOK ,8.29,"19,447,338","19,447,338"
23,Afghanistan,AFG23,CHF/000187/HAF10/10-2016/4069,2016,Government of Norway,12,17,Norway,NO,10-10-16,1255495.51,01-01-01,20-10-16,"1,226,652.84",01-01-01,NOK ,8.04,NOK ,8.23,"10,091,673","10,091,673"
23,Afghanistan,AFG23,CHF/000182/HAF10/3-2016/3752,2016,Government of Netherlands,11,16,Netherlands,NL,23-03-16,6718692.73,01-01-01,04-04-16,"6,810,000.00",01-01-01,EUR ,0.9,EUR ,0.88,"6,013,230","6,013,230"
23,Afghanistan,AFG23,CHF/000232/HAF10/12-2016/4183,2016,Government of Switzerland,16,24,Switzerland,CH,08-12-16,399965,01-01-01,14-12-16,"399,965.00",01-01-01,USD ,1,USD ,1,"399,965","399,965"
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2016/3521,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,5217127.41,01-01-01,30-09-16,"4,540,200.00",01-01-01,GBP ,0.66,GBP ,0.76,"3,464,173","3,464,173"
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2016/4182,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,08-12-16,9309000,01-01-01,19-12-16,"9,309,000.00",01-01-01,GBP ,0.8,GBP ,0.8,"7,447,200","7,447,200"
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2016/3521,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,8943646.99,01-01-01,30-09-16,"7,783,200.00",01-01-01,GBP ,0.66,GBP ,0.76,"5,938,582","5,938,582"
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2016/3714,2016,Sida,20,22,Sweden,SE,04-03-16,7467624,01-01-01,11-03-16,"7,467,624.00",01-01-01,SEK ,8.53,SEK ,8.53,"63,683,897","63,683,897"
23,Afghanistan,AFG23,CHF/000555/HAF10/11-2016/4180,2016,Sida,20,22,Sweden,SE,28-11-16,2204587.59,01-01-01,05-12-16,"2,171,761.98",01-01-01,SEK ,9.06,SEK ,9.2,"19,982,382","19,982,382"
23,Afghanistan,AFG23,CHF/000555/HAF10/8-2016/3988,2016,Sida,20,22,Sweden,SE,12-08-16,814771.23,01-01-01,16-08-16,"832,534.02",01-01-01,SEK ,8.62,SEK ,8.44,"7,026,587","7,026,587"
23,Afghanistan,AFG23,CHF/000555/HAF10/7-2017/4579,2017,Sida,20,22,Sweden,SE,12-07-17,1804738.13,01-01-01,19-07-17,"1,804,738.13",01-01-01,SEK ,8.57,SEK ,8.57,"15,468,411","15,468,411"
23,Afghanistan,AFG23,CHF/000555/HAF10/2-2017/4347,2017,Sida,20,22,Sweden,SE,10-02-17,6558957.02,01-01-01,17-02-17,"6,558,957.02",01-01-01,SEK ,8.85,SEK ,8.85,"58,073,005","58,073,005"
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2017/3521,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,9351646.9,01-01-01,29-09-17,"8,032,980.00",01-01-01,GBP ,0.66,GBP ,0.77,"6,209,494","6,209,494"
